Instance 369: p_3=-62.41212, p_4=-64.97832
Instance 370: p_3=-62.41212, p_4=-64.97832
Instance 371: p_3=-62.41212, p_4=-64.97832
Instance 372: p_3=-62.41212, p_4=-64.97832
Instance 373: p_3=-62.41212, p_4=-64.97832
Instance 374: p_3=-62.41212, p_4=-64.97832
Instance 375: p_3=-62.41212, p_4=-64.97832
Instance 376: p_3=-62.41212, p_4=-64.97832
Instance 377: p_3=-62.41212, p_4=-64.97832
Instance 378: p_3=-62.41212, p_4=-64.97832
Instance 379: p_3=-62.41212, p_4=-64.97832
Instance 380: p_3=-62.41212, p_4=-64.97832
Instance 381: p_3=-62.41212, p_4=-64.97832
Instance 382: p_3=-62.41212, p_4=-64.97832
Instance 383: p_3=-62.41212, p_4=-64.97832
Instance 384: p_3=-62.41212, p_4=-64.97832
Instance 385: p_3=-62.41212, p_4=-64.97832
Instance 386: p_3=-62.41212, p_4=-64.97832
Instance 387: p_3=-62.41212, p_4=-64.97832
Instance 388: p_3=-62.41212, p_4=-64.97832
Instance 389: p_3=-62.41212, p_4=-64.97832
Instance 390: p_3=-62.41212, p_4=-64.97832
Instance 391: p_3=-62.41212, p_4=-64.97832
Instance 392: p_3=-62.41212, p_4=-64.97832
Instance 393: p_3=-62.41212, p_4=-64.97832
Instance 394: p_3=-62.41212, p_4=-64.97832
Instance 395: p_3=-62.41212, p_4=-64.97832
Instance 396: p_3=-62.41212, p_4=-64.97832
Instance 397: p_3=-62.41212, p_4=-64.97832
Instance 398: p_3=-62.41212, p_4=-64.97832
Instance 399: p_3=-62.41212, p_4=-64.97832
Instance 400: p_3=-62.41212, p_4=-64.97832
Instance 401: p_3=-62.41212, p_4=-64.97832
Instance 402: p_3=-62.41212, p_4=-64.97832
Instance 403: p_3=-62.41212, p_4=-64.97832
Instance 404: p_3=-62.41212, p_4=-64.97832
Instance 405: p_3=-62.41212, p_4=-64.97832
Instance 406: p_3=-62.41212, p_4=-64.97832
Instance 407: p_3=-62.41212, p_4=-64.97832
Instance 408: p_3=-62.41212, p_4=-64.97832
Instance 409: p_3=-62.41212, p_4=-64.97832
Instance 410: p_3=-62.41212, p_4=-64.97832
Instance 411: p_3=-62.41212, p_4=-64.97832
Instance 412: p_3=-62.41212, p_4=-64.97832
Instance 413: p_3=-62.41212, p_4=-64.97832
Instance 414: p_3=-62.41212, p_4=-64.97832
Instance 415: p_3=-62.41212, p_4=-64.97832
Instance 416: p_3=-62.41212, p_4=-64.97832
Instance 417: p_3=-62.41212, p_4=-64.97832
Instance 418: p_3=-62.41212, p_4=-64.97832
Instance 419: p_3=-62.41212, p_4=-64.97832
Instance 420: p_3=-62.41212, p_4=-64.97832
Instance 421: p_3=-62.41212, p_4=-64.97832
Instance 422: p_3=-62.41212, p_4=-64.97832
Instance 423: p_3=-62.41212, p_4=-64.97832
Instance 424: p_3=-62.41212, p_4=-64.97832
Instance 425: p_3=-62.41212, p_4=-64.97832
Instance 426: p_3=-62.41212, p_4=-64.97832
Instance 427: p_3=-62.41212, p_4=-64.97832
Instance 428: p_3=-62.41212, p_4=-64.97832
Instance 429: p_3=-62.41212, p_4=-64.97832
Instance 430: p_3=-62.41212, p_4=-64.97832
Instance 431: p_3=-62.41212, p_4=-64.97832
Instance 432: p_3=-62.41212, p_4=-64.97832
Instance 433: p_3=-62.41212, p_4=-64.97832
Instance 434: p_3=-62.41212, p_4=-64.97832
Instance 435: p_3=-62.41212, p_4=-64.97832
Instance 436: p_3=-62.41212, p_4=-64.97832
Instance 437: p_3=-62.41212, p_4=-64.97832
Instance 438: p_3=-62.41212, p_4=-64.97832
Instance 439: p_3=-62.41212, p_4=-64.97832
Instance 440: p_3=-62.41212, p_4=-64.97832
Instance 441: p_3=-62.41212, p_4=-64.97832
Instance 442: p_3=-62.41212, p_4=-64.97832
Instance 443: p_3=-62.41212, p_4=-64.97832
Instance 444: p_3=-62.41212, p_4=-64.97832
Instance 445: p_3=-62.41212, p_4=-64.97832
Instance 446: p_3=-62.41212, p_4=-64.97832
Instance 447: p_3=-62.41212, p_4=-64.97832
Instance 448: p_3=-62.41212, p_4=-64.97832
Instance 449: p_3=-62.41212, p_4=-64.97832
Instance 450: p_3=-62.41212, p_4=-64.97832
Instance 451: p_3=-62.41212, p_4=-64.97832
Instance 452: p_3=-62.41212, p_4=-64.97832
Instance 453: p_3=-62.41212, p_4=-64.97832
Instance 454: p_3=-62.41212, p_4=-64.97832
Instance 455: p_3=-62.41212, p_4=-64.97832
Instance 456: p_3=-62.41212, p_4=-64.97832
Instance 457: p_3=-62.41212, p_4=-64.97832
Instance 458: p_3=-62.41212, p_4=-64.97832
Instance 459: p_3=-62.41212, p_4=-64.97832
Instance 460: p_3=-62.41212, p_4=-64.97832
Instance 461: p_3=-62.41212, p_4=-64.97832
Instance 462: p_3=-62.41212, p_4=-64.97832
Instance 463: p_3=-62.41212, p_4=-64.97832
Instance 464: p_3=-62.41212, p_4=-64.97832
Instance 465: p_3=-62.41212, p_4=-64.97832
Instance 466: p_3=-62.41212, p_4=-64.97832
Instance 467: p_3=-62.41212, p_4=-64.97832
Instance 468: p_3=-62.41212, p_4=-64.97832
Instance 469: p_3=-62.41212, p_4=-64.97832
Instance 470: p_3=-62.41212, p_4=-64.97832
Instance 471: p_3=-62.41212, p_4=-64.97832
Instance 472: p_3=-62.41212, p_4=-64.97832
Instance 473: p_3=-62.41212, p_4=-64.97832
Instance 474: p_3=-62.41212, p_4=-64.97832
Instance 475: p_3=-62.41212, p_4=-64.97832
Instance 476: p_3=-62.41212, p_4=-64.97832
Instance 477: p_3=-62.41212, p_4=-64.97832
Instance 478: p_3=-62.41212, p_4=-64.97832
Instance 479: p_3=-62.41212, p_4=-64.97832
Instance 480: p_3=-62.41212, p_4=-64.97832
Instance 481: p_3=-62.41212, p_4=-64.97832
Instance 482: p_3=-62.41212, p_4=-64.97832
Instance 483: p_3=-62.41212, p_4=-64.97832
Instance 484: p_3=-62.41212, p_4=-64.97832
Instance 485: p_3=-62.41212, p_4=-64.97832
Instance 486: p_3=-62.41212, p_4=-64.97832
Instance 487: p_3=-62.41212, p_4=-64.97832
Instance 488: p_3=-62.41212, p_4=-64.97832
Instance 489: p_3=-62.41212, p_4=-64.97832
Instance 490: p_3=-62.41212, p_4=-64.97832
Instance 491: p_3=-62.41212, p_4=-64.97832
Instance 492: p_3=-62.41212, p_4=-64.97832
Instance 493: p_3=-62.41212, p_4=-64.97832
Instance 494: p_3=-62.41212, p_4=-64.97832
Instance 495: p_3=-62.41212, p_4=-64.97832
Instance 496: p_3=-62.41212, p_4=-64.97832
Instance 497: p_3=-62.41212, p_4=-64.97832
Instance 498: p_3=-62.41212, p_4=-64.97832
Instance 499: p_3=-62.41212, p_4=-64.97832
Instance 500: p_3=-62.41212, p_4=-64.97832
Instance 501: p_3=-62.41212, p_4=-64.97832
Instance 502: p_3=-62.41212, p_4=-64.97832
Instance 503: p_3=-62.41212, p_4=-64.97832
